Ticker,Timestamp,ESG Score,Governance Score,Environment Score,Social Score
PFG,1512086400,61.8,64.71,56.08,63.7
PFG,1514764800,61.8,64.71,56.08,63.7
PFG,1517443200,61.8,64.71,56.08,63.7
PFG,1519862400,61.8,64.71,56.08,63.7
PFG,1522540800,61.8,64.71,56.08,63.7
PFG,1525132800,61.8,64.71,56.08,63.7
PFG,1527811200,61.8,64.71,56.08,63.7
PFG,1530403200,61.8,64.71,56.08,63.7
PFG,1533081600,62.58,68.7,54.08,63.27
PFG,1535760000,62.58,68.7,54.08,63.27
PFG,1538352000,62.58,68.7,54.08,63.27
PFG,1541030400,62.68,68.95,54.08,63.27
PFG,1543622400,62.68,68.95,54.08,63.27
PFG,1546300800,62.68,68.95,54.08,63.27
PFG,1548979200,62.68,68.95,54.08,63.27
PFG,1551398400,62.68,68.95,54.08,63.27
PFG,1554076800,62.68,68.95,54.08,63.27
PFG,1556668800,62.65,68.74,54.08,63.43
PFG,1559347200,62.65,68.74,54.08,63.43
PFG,1561939200,62.54,69.25,53.08,63.43
PFG,1564617600,62.54,69.25,53.08,63.43
PFG,1567296000,62.54,69.25,53.08,63.43
PFG,1569888000,62.54,69.25,53.08,63.43
PFG,1572566400,61.19,63.99,50.42,67.95
PFG,1575158400,59.62,64.1,45.08,67.95
PFG,1577836800,22.37,11.85,1.93,8.59
PFG,1580515200,22.37,11.85,1.93,8.59
PFG,1583020800,22.37,11.85,1.93,8.59
PFG,1585699200,,,,
PFG,1588291200,,,,
PFG,1590969600,,,,
